idprogram,number,description
1,1,
1,2,
1,3,
1,4,
1,5,
1,6,
1,7,
1,8,
2,1,
2,2,
2,3,
2,4,
2,5,
2,6,
2,7,
2,8,
2,9,
3,1,
3,2,
3,3,
3,4,
3,5,
3,6,
3,7,
3,8,
4,1,
4,2,
4,3,
4,4,
4,5,
4,6,
4,7,
4,8,
5,1,
5,2,
5,3,
5,4,
5,5,
5,6,
5,7,
5,8,
5,9,
5,10,
5,11,
5,12,
6,1,
6,2,
6,3,
6,4,
6,5,
6,6,
6,7,
6,8,
7,1,
7,2,
7,3,
7,4,
7,5,
7,6,
7,7,
7,8,
8,1,
8,2,
8,3,
8,4,
8,5,
8,6,
8,7,
8,8,
10,1,
10,2,
10,3,
10,4,
10,5,
10,6,
10,7,
10,8,
10,9,
10,10,
12,1,
12,2,
12,3,
12,4,
12,5,
12,6,
12,7,
12,8,
12,9,
12,10,
12,11,
12,12,
12,13,
12,14,
12,15,
13,1,
13,2,
13,3,
13,4,
13,5,
13,6,
13,7,
13,8,
14,1,
14,2,
14,3,
14,4,
14,5,
14,6,
14,7,
14,8,
14,9,
14,10,
14,11,
14,12,
14,13,
14,14,
14,15,
15,1,
15,2,
15,3,
15,4,
15,5,
15,6,
15,7,
15,8,
16,1,
16,2,
16,3,
16,4,
16,5,
16,6,
16,7,
16,8,
16,9,
16,10,
16,11,
16,12,
16,13,
16,14,
16,15,
19,1,
19,2,
19,3,
19,4,
19,5,
19,6,
19,7,
19,8,
19,9,
19,10,
20,1,
20,2,
20,3,
20,4,
20,5,
20,6,
20,7,
20,8,
21,1,
21,2,
21,3,
21,4,
21,5,
21,6,
21,7,
21,8,
22,1,
22,2,
22,3,
22,4,
22,5,
22,6,
22,7,
22,8,
23,1,
23,2,
23,3,
23,4,
23,5,
23,6,
23,7,
23,8,
24,1,
24,2,
24,3,
24,4,
24,5,
24,6,
24,7,
24,8,
25,1,
25,2,
25,3,
25,4,
25,5,
25,6,
25,7,
25,8,
26,1,
26,2,
26,3,
26,4,
26,5,
26,6,
26,7,
26,8,
26,9,
26,10,
26,11,
26,12,
27,1,
27,2,
27,3,
27,4,
27,5,
27,6,
27,7,
27,8,
28,1,
28,2,
28,3,
28,4,
28,5,
28,6,
28,7,
28,8,
28,9,
28,10,
28,11,
28,12,
28,13,
28,14,
28,15,
29,1,
29,2,
29,3,
29,4,
29,5,
29,6,
29,7,
29,8,
31,1,
31,2,
31,3,
31,4,
31,5,
31,6,
31,7,
31,8,
31,9,
31,10,
31,11,
32,1,
32,2,
32,3,
32,4,
32,5,
32,6,
32,7,
32,8,
32,9,
32,10,
32,11,
32,12,
32,13,
33,1,
33,2,
33,3,
33,4,
33,5,
33,6,
33,7,
33,8,
33,9,
33,10,
33,11,
33,12,
33,13,
34,1,
34,2,
34,3,
34,4,
34,5,
34,6,
34,7,
34,8,
34,9,
34,10,
34,11,
34,12,
35,1,
35,2,
35,3,
35,4,
35,5,
35,6,
35,7,
35,8,
36,1,
36,2,
36,3,
36,4,
36,5,
36,6,
36,7,
36,8,
38,1,
38,2,
38,3,
38,4,
38,5,
38,6,
38,7,
38,8,
40,1,
40,2,
40,3,
40,4,
40,5,
40,6,
40,7,
40,8,
41,1,
41,2,
41,3,
41,4,
41,5,
41,6,
41,7,
41,8,
42,1,
42,2,
42,3,
42,4,
42,5,
42,6,
42,7,
42,8,
42,9,
43,1,
43,2,
43,3,
43,4,
43,5,
43,6,
43,7,
43,8,
43,9,
43,10,
43,11,
43,12,
43,13,
43,14,
43,15,
44,1,
44,2,
44,3,
44,4,
44,5,
44,6,
44,7,
44,8,
44,9,
44,10,
44,11,
44,12,
44,13,
44,14,
44,15,
45,1,
45,2,
45,3,
45,4,
45,5,
45,6,
45,7,
45,8,
45,9,
45,10,
45,11,
45,12,
45,13,
45,14,
45,15,
46,1,
46,2,
46,3,
46,4,
46,5,
46,6,
46,7,
46,8,
46,9,
46,10,
46,11,
46,12,
46,13,
46,14,
46,15,
47,1,
47,2,
47,3,
47,4,
47,5,
47,6,
47,7,
47,8,
47,9,
47,10,
47,11,
47,12,
47,13,
47,14,
47,15,
48,1,
48,2,
48,3,
48,4,
48,5,
48,6,
48,7,
48,8,
48,9,
48,10,
48,11,
48,12,
48,13,
48,14,
48,15,
49,1,
49,2,
49,3,
49,4,
49,5,
49,6,
49,7,
49,8,
50,1,
50,2,
50,3,
50,4,
50,5,
50,6,
50,7,
50,8,
50,9,
50,10,
50,11,
50,12,
50,13,
50,14,
50,15,
50,16,
50,17,
50,18,
50,19,
50,20,
51,1,
51,2,
51,3,
51,4,
51,5,
51,6,
51,7,
51,8,
51,9,
51,10,
51,11,
51,12,
51,13,
51,14,
51,15,
51,16,
51,17,
51,18,
52,1,
52,2,
52,3,
52,4,
52,5,
52,6,
52,7,
52,8,
53,1,
53,2,
53,3,
53,4,
53,5,
53,6,
53,7,
53,8,
54,1,
54,2,
54,3,
54,4,
54,5,
54,6,
54,7,
54,8,
54,9,
54,10,
54,11,
54,12,
54,13,
54,14,
54,15,
55,1,
55,2,
55,3,
55,4,
55,5,
55,6,
55,7,
55,8,
56,1,
56,2,
56,3,
56,4,
56,5,
56,6,
56,7,
56,8,
57,1,
57,2,
57,3,
57,4,
57,5,
57,6,
57,7,
57,8,
57,9,
57,10,
57,11,
57,12,
57,13,
57,14,
57,15,
58,1,
58,2,
58,3,
58,4,
58,5,
58,6,
58,7,
58,8,
59,1,
59,2,
59,3,
59,4,
59,5,
59,6,
59,7,
60,1,
60,2,
60,3,
60,4,
60,5,
60,6,
60,7,
60,8,
61,1,
61,2,
61,3,
61,4,
61,5,
61,6,
61,7,
61,8,
61,9,
61,10,
61,11,
61,12,
61,13,
61,14,
61,15,
62,1,
62,2,
62,3,
62,4,
62,5,
62,6,
62,7,
62,8,
63,1,
63,2,
63,3,
63,4,
63,5,
63,6,
63,7,
63,8,
63,9,
63,10,
63,11,
64,1,
64,2,
64,3,
64,4,
64,5,
64,6,
64,7,
64,8,
