idprogram,name,idpartner,preferred_ui_color
1,BBL,1,#FF99FF
2,SER,1,#DE0000
3,FCR,1,#4B4628
4,WCI,1,#7030A0
5,YD,2,#CC99FF
6,CCD,2,#000000
7,CBM,2,#7030A0
8,WCM,2,#FF0000
10,28910,3,#F034BA
12,MTG005,4,#00CCFF
13,MTG006,4,#968C55
14,MTG007,4,#9BB95A
15,MTG009,4,#2F75B5
16,SER003,4,#66FF33
19,MTGL03,4,#C65911
20,MTGL04,4,#C00000
21,MTGF02,4,#E6B8B8
22,MTG010,4,#FF3399
23,CRO003,4,#15C2FF
24,CRO012,4,#5B9BD5
25,MTN60,5,#008000
26,MTN61,5,#99CC00
27,MTN65,5,#A9D08E
28,MTN67,5,#C6E0B4
29,MTN102,5,#808080
31,"MCG 1",6,#003366
32,"MCG 2",6,#0066CC
33,BTTS,7,#FFCC00
34,SBM,7,#FFFF00
35,HM,8,#00FFFF
36,CD,9,#0000FF
38,WS,9,#0000FF
40,FM,9,#0000FF
41,CB,9,#321547
42,SER01,10,#375623
43,BAK,11,#FFCC00
44,BAF,11,#FFFF00
45,JrBAK,11,#0070C0
46,EEZ,11,#CCFF33
47,EEF,11,#99CC00
48,SEMK,12,#FFFF00
49,FIBK,12,#757171
50,JBA,12,#F4B084
51,MAGR,12,#99FF99
52,PTB,13,#808080
53,MP,9,#F79646
54,"SEMK - DE",12,#FFFF00
55,BCN,13,#F2F2F2
56,DBR012,14,#4BACC6
57,MTGS10,4,#E4DFEC
58,MTGS21,4,#E6B8B7
59,CROS25,4,#8ACBDA
60,MTGS22,4,#BFBFBF
61,"CRO SG",4,#60497A
62,CDC,9,#76933C
63,MNWR,7,#92D050
64,"CD SG",9,#0000FF
